測站名稱,縣市,AQI,空氣品質等級,PM2.5,PM10,緯度,經度,距離台北車站(km),更新時間
基隆,基隆市,36,良好,8,17,25.129167,121.760056,26.12,2026-03-02 19:27:24
汐止,新北市,52,普通,17,16,25.06624,121.64081,12.66,2026-03-02 19:27:24
新店,新北市,56,普通,16,22,24.977222,121.537778,8.09,2026-03-02 19:27:24
土城,新北市,51,普通,13,23,24.982528,121.451861,9.77,2026-03-02 19:27:24
板橋,新北市,58,普通,16,27,25.012972,121.458667,7.04,2026-03-02 19:27:24
新莊,新北市,52,普通,11,23,25.037972,121.4325,8.6,2026-03-02 19:27:24
菜寮,新北市,54,普通,13,25,25.06895,121.481028,4.32,2026-03-02 19:27:24
林口,新北市,37,良好,11,14,25.07798949,121.36548982,15.65,2026-03-02 19:27:24
淡水,新北市,43,良好,12,15,25.1645,121.449239,14.62,2026-03-02 19:27:24
士林,臺北市,40,良好,10,18,25.10334003,121.51666356,6.15,2026-03-02 19:27:24
中山,臺北市,62,普通,17,24,25.062361,121.526528,1.88,2026-03-02 19:27:24
萬華,臺北市,52,普通,13,21,25.046503,121.507972,0.92,2026-03-02 19:27:24
古亭,臺北市,44,良好,12,21,25.020608,121.529556,3.27,2026-03-02 19:27:24
松山,臺北市,59,普通,17,21,25.05,121.578611,6.22,2026-03-02 19:27:24
大同,臺北市,56,普通,15,19,25.06331455,121.51342074,1.76,2026-03-02 19:27:24
桃園,桃園市,56,普通,21,31,24.9947107,121.30500531,22.19,2026-03-02 19:27:24
大園,桃園市,39,良好,7,19,25.06100357,121.20251473,31.77,2026-03-02 19:27:24
觀音,桃園市,38,良好,18,31,25.03556747,121.08283092,43.84,2026-03-02 19:27:24
平鎮,桃園市,57,普通,21,36,24.952786,121.203986,33.31,2026-03-02 19:27:24
龍潭,桃園市,59,普通,21,32,24.86400048,121.21645772,36.55,2026-03-02 19:27:24
湖口,新竹縣,43,良好,19,22,24.90009696,121.03886894,50.97,2026-03-02 19:27:24
竹東,新竹縣,47,良好,20,23,24.74091408,121.08895493,55.01,2026-03-02 19:27:24
新竹,新竹市,46,良好,23,26,24.8056356,120.97236752,61.2,2026-03-02 19:27:24
頭份,苗栗縣,39,良好,16,27,24.69690679,120.89869286,73.59,2026-03-02 19:27:24
苗栗,苗栗縣,48,良好,25,25,24.56499183,120.82011468,88.46,2026-03-02 19:27:24
三義,苗栗縣,48,良好,9,14,24.38248443,120.75956754,106.32,2026-03-02 19:27:24
豐原,臺中市,52,普通,9,21,24.25699731,120.74252414,117.56,2026-03-02 19:27:24
沙鹿,臺中市,41,良好,9,13,24.225628,120.568794,132.32,2026-03-02 19:27:24
大里,臺中市,55,普通,13,48,24.09961111,120.67844444,135.08,2026-03-02 19:27:24
忠明,臺中市,48,良好,8,20,24.151958,120.641092,133.1,2026-03-02 19:27:24
西屯,臺中市,50,良好,12,19,24.162197,120.616917,133.91,2026-03-02 19:27:24
彰化,彰化縣,46,良好,10,25,24.066,120.541519,146.94,2026-03-02 19:27:24
線西,彰化縣,48,良好,8,15,24.131672,120.469061,146.84,2026-03-02 19:27:24
二林,彰化縣,50,良好,7,21,23.925175,120.409653,167.51,2026-03-02 19:27:24
南投,南投縣,57,普通,11,23,23.913,120.685306,151.35,2026-03-02 19:27:24
斗六,雲林縣,51,普通,8,34,23.711853,120.544994,177.82,2026-03-02 19:27:24
崙背,雲林縣,55,普通,9,23,23.757547,120.348742,185.65,2026-03-02 19:27:24
新港,嘉義縣,52,普通,10,23,23.554839,120.345531,203.68,2026-03-02 19:27:24
朴子,嘉義縣,42,良好,4,21,23.46538,120.2478,217.55,2026-03-02 19:27:24
臺西,雲林縣,34,良好,2,12,23.702175,120.19933333,200.21,2026-03-02 19:27:24
嘉義,嘉義市,42,良好,8,23,23.46477865,120.44125148,206.58,2026-03-02 19:27:24
新營,臺南市,49,良好,19,18,23.305633,120.31725,228.24,2026-03-02 19:27:24
善化,臺南市,37,良好,8,25,23.11337642,120.29740529,247.56,2026-03-02 19:27:24
安南,臺南市,39,良好,4,19,23.048197,120.2175,257.91,2026-03-02 19:27:24
臺南,臺南市,32,良好,2,13,22.98928311,120.21947897,263.45,2026-03-02 19:27:24
美濃,高雄市,34,良好,6,12,22.883583,120.530542,259.88,2026-03-02 19:27:24
橋頭,高雄市,38,良好,11,12,22.757506,120.305689,282.06,2026-03-02 19:27:24
仁武,高雄市,35,良好,9,18,22.689056,120.332631,287.75,2026-03-02 19:27:24
鳳山,高雄市,32,良好,5,24,22.628126,120.357422,292.87,2026-03-02 19:27:24
大寮,高雄市,38,良好,12,20,22.56413611,120.425311,296.72,2026-03-02 19:27:24
林園,高雄市,39,良好,10,21,22.4795,120.41175,305.95,2026-03-02 19:27:24
楠梓,高雄市,37,良好,8,12,22.733667,120.328289,283.45,2026-03-02 19:27:24
左營,高雄市,32,良好,6,14,22.674861,120.292917,290.89,2026-03-02 19:27:24
前金,高雄市,30,良好,5,20,22.63390278,120.28676111,295.27,2026-03-02 19:27:24
前鎮,高雄市,30,良好,7,12,22.6044507,120.30833356,297.31,2026-03-02 19:27:24
小港,高雄市,40,良好,6,16,22.565833,120.337736,300.0,2026-03-02 19:27:24
屏東,屏東縣,48,良好,9,22,22.673081,120.488033,283.13,2026-03-02 19:27:24
潮州,屏東縣,50,良好,12,18,22.523108,120.561175,296.1,2026-03-02 19:27:24
恆春,屏東縣,26,良好,7,12,21.958069,120.788928,350.18,2026-03-02 19:27:24
臺東,臺東縣,37,良好,10,28,22.755358,121.15045,256.63,2026-03-02 19:27:24
花蓮,花蓮縣,42,良好,8,25,23.971306,121.599769,119.53,2026-03-02 19:27:24
陽明,臺北市,22,良好,1,4,25.182722,121.529583,15.0,2026-03-02 19:27:24
宜蘭,宜蘭縣,38,良好,15,25,24.747917,121.746394,40.5,2026-03-02 19:27:24
冬山,宜蘭縣,54,普通,14,27,24.632203,121.792928,53.83,2026-03-02 19:27:24
三重,新北市,56,普通,18,21,25.072611,121.493806,3.61,2026-03-02 19:27:24
中壢,桃園市,64,普通,22,33,24.953278,121.221667,31.6,2026-03-02 19:27:24
竹山,南投縣,58,普通,13,30,23.756389,120.677306,166.48,2026-03-02 19:27:24
永和,新北市,56,普通,16,32,25.017,121.516306,3.41,2026-03-02 19:27:24
復興,高雄市,30,良好,5,19,22.608711,120.312017,296.73,2026-03-02 19:27:24
埔里,南投縣,45,良好,13,33,23.968842,120.967903,131.83,2026-03-02 19:27:24
馬公,澎湖縣,32,良好,7,10,23.569031,119.566158,256.98,2026-03-02 19:27:24
關山,臺東縣,29,良好,10,20,23.045083,121.161933,224.74,2026-03-02 19:27:24
麥寮,雲林縣,48,良好,9,11,23.753506,120.251825,192.41,2026-03-02 19:27:24
富貴角,新北市,42,良好,12,23,25.29681695,121.53656894,27.66,2026-03-02 19:27:24
大城,彰化縣,37,良好,4,14,23.85493056,120.26964167,182.9,2026-03-02 19:27:24
臺灣大道,臺中市,56,普通,9,26,24.1589,120.6567111,131.47,2026-03-02 19:27:24
員林,彰化縣,48,良好,9,30,23.9615945,120.5631893,154.34,2026-03-02 19:27:24
林森,臺南市,40,良好,8,19,22.98522502,120.22216042,263.7,2026-03-02 19:27:24
南投（鹿谷）,南投縣,46,良好,13,28,23.71867609,120.7944772,164.46,2026-03-02 19:27:24
屏東（琉球）,屏東縣,29,良好,4,12,22.35222,120.37722,320.37,2026-03-02 19:27:24
新北（樹林）,新北市,51,普通,15,25,24.94902778,121.38352778,17.36,2026-03-02 19:27:24
屏東（枋山）,屏東縣,42,良好,8,23,22.260899,120.651472,321.04,2026-03-02 19:27:24
